   main_id   |plx_value|    rvz_redshift     |teff 
"*  15 Peg"  |37.0591  |6.311565424543808E-5 |6324 
"*  15 Peg"  |37.0591  |6.311565424543808E-5 |6332 
"*  15 Peg"  |37.0591  |6.311565424543808E-5 |6333 
"*  15 Peg"  |37.0591  |6.311565424543808E-5 |6350 
"*  15 Peg"  |37.0591  |6.311565424543808E-5 |6375 
"*  15 Peg"  |37.0591  |6.311565424543808E-5 |6378 
"*  15 Peg"  |37.0591  |6.311565424543808E-5 |6400 
"*  15 Peg"  |37.0591  |6.311565424543808E-5 |6407 
"*  15 Peg"  |37.0591  |6.311565424543808E-5 |6416 
"*  15 Peg"  |37.0591  |6.311565424543808E-5 |6418 
"*  15 Peg"  |37.0591  |6.311565424543808E-5 |6439 
"*  15 Peg"  |37.0591  |6.311565424543808E-5 |6450 
"*  15 Peg"  |37.0591  |6.311565424543808E-5 |6452 
"*  15 Peg"  |37.0591  |6.311565424543808E-5 |6460 
"*  15 Peg"  |37.0591  |6.311565424543808E-5 |6471 
"*  15 Peg"  |37.0591  |6.311565424543808E-5 |6578 
"*  15 Sge"  |56.2693  |1.524399534025278E-5 |5763 
"*  15 Sge"  |56.2693  |1.524399534025278E-5 |5824 
"*  15 Sge"  |56.2693  |1.524399534025278E-5 |5853 
"*  15 Sge"  |56.2693  |1.524399534025278E-5 |5895 
"*  15 Sge"  |56.2693  |1.524399534025278E-5 |5905 
"*  15 Sge"  |56.2693  |1.524399534025278E-5 |5910 
"*  15 Sge"  |56.2693  |1.524399534025278E-5 |5913 
"*  15 Sge"  |56.2693  |1.524399534025278E-5 |5926 
"*  15 Sge"  |56.2693  |1.524399534025278E-5 |5932 
"*  15 Sge"  |56.2693  |1.524399534025278E-5 |5937 
"*  15 Sge"  |56.2693  |1.524399534025278E-5 |5940 
"*  15 Sge"  |56.2693  |1.524399534025278E-5 |5944 
"*  15 Sge"  |56.2693  |1.524399534025278E-5 |5946 
"*  15 Sge"  |56.2693  |1.524399534025278E-5 |5961 
"*  15 Sge"  |56.2693  |1.524399534025278E-5 |5972 
"*  15 Sge"  |56.2693  |1.524399534025278E-5 |6019 
"*  15 Sge"  |56.2693  |1.524399534025278E-5 |6031 
"*  15 Sge"  |56.2693  |1.524399534025278E-5 |6067 
"*  16 Del"  |16.4866  |6.671304157102043E-6 |8395 
"*  16 Lib"  |36.3454  |8.773120541927248E-5 |6980 
