            main_id            |plx_value|     rvz_redshift     |teff 
"* pi.01 Boo"                  |10.3357  |-3.6691983156256214E-6|11200
"* pi.01 Boo"                  |10.3357  |-3.6691983156256214E-6|12052
"* pi.01 Boo"                  |10.3357  |-3.6691983156256214E-6|12416
"* pi.01 Boo"                  |10.3357  |-3.6691983156256214E-6|12600
"* pi.01 Boo"                  |10.3357  |-3.6691983156256214E-6|12923
"* pi.01 Boo"                  |10.3357  |-3.6691983156256214E-6|14400
"* pi.01 Cyg"                  |1.89     |-2.7351881743520323E-5|18360
"* pi.02 Cyg"                  |2.95     |-4.102754207979675E-5 |17890
"* pi.02 Cyg"                  |2.95     |-4.102754207979675E-5 |18351
"* pi.02 Cyg"                  |2.95     |-4.102754207979675E-5 |19470
"* pi.02 Cyg"                  |2.95     |-4.102754207979675E-5 |20815
"* psi Per"                    |5.59     |-3.6691983156256214E-6|16672
"* psi02 Aqr"                  |8.12     |-1.667806568095287E-5 |14200
"* psi02 Aqr"                  |8.12     |-1.667806568095287E-5 |14791
"* psi02 Aqr"                  |8.12     |-1.667806568095287E-5 |15260
"* rho Sco"                    |6.91     |-1.3342554906481396E-6|21150
"* sig Cyg"                    |1.13     |-1.7678740776516655E-5|11170
"* sig Lup"                    |5.67     |-5.003448910745334E-6 |23000
"* sig Lup"                    |5.67     |-5.003448910745334E-6 |25980
"* sig Sgr"                    |14.32    |-3.735848083419313E-5 |18890
"* sig Sgr"                    |14.32    |-3.735848083419313E-5 |21680
"* tau And"                    |4.58     |-4.63643344068565E-5  |12680
"* tau And"                    |4.58     |-4.63643344068565E-5  |13026
"* tau Cap"                    |2.87     |-1.367603438606757E-5 |15439
"* tau Cap"                    |2.87     |-1.367603438606757E-5 |19385
"* tau Her"                    |10.61    |-5.170109825392011E-5 |14824
"* tau Her"                    |10.61    |-5.170109825392011E-5 |14906
"* tau Her"                    |10.61    |-5.170109825392011E-5 |15000
"* tau Her"                    |10.61    |-5.170109825392011E-5 |16350
"* tet Aql"                    |11.39    |-9.346029206147577E-5 |11250
"* tet CrB"                    |8.69     |-8.572229830983158E-5 |13932
"* tet CrB"                    |8.69     |-8.572229830983158E-5 |15885
"* tet CrB"                    |8.69     |-8.572229830983158E-5 |16150
"* tet Hya"                    |27.0704  |-3.56907212724078E-5  |11200
"* tet Oph"                    |7.48     |-7.004821465428357E-6 |22950
"* ups Cyg"                    |5.012    |-2.3349459404853334E-6|22233
"* z Pup"                      |2.5769   |-3.0020317958068254E-5|18000
"* z Pup"                      |2.5769   |-3.0020317958068254E-5|18113
"* zet Cas"                    |5.5      |-6.671279678682751E-7 |20160
"* zet Cas"                    |5.5      |-6.671279678682751E-7 |20375
"* zet Cas"                    |5.5      |-6.671279678682751E-7 |20703
"* zet Cas"                    |5.5      |-6.671279678682751E-7 |20750
"* zet Cas"                    |5.5      |-6.671279678682751E-7 |21850
"* zet Cas"                    |5.5      |-6.671279678682751E-7 |22180
"* zet Crv"                    |8.4789   |-2.134787422680695E-5 |11561
"* zet Crv"                    |8.4789   |-2.134787422680695E-5 |12830
"* zet Dra"                    |9.93     |-5.903910204219098E-5 |12500
"* zet Dra"                    |9.93     |-5.903910204219098E-5 |12900
"* zet Dra"                    |9.93     |-5.903910204219098E-5 |13397
"* zet Dra"                    |9.93     |-5.903910204219098E-5 |13420
"* zet Dra"                    |9.93     |-5.903910204219098E-5 |13430
"* zet Dra"                    |9.93     |-5.903910204219098E-5 |14035
"* zet Oph"                    |8.91     |-3.0020317958068254E-5|27000
"* zet Oph"                    |8.91     |-3.0020317958068254E-5|29242
"* zet Oph"                    |8.91     |-3.0020317958068254E-5|32000
"* zet Pup"                    |3.01     |-7.971864122147121E-5 |37250
"* zet Pup"                    |3.01     |-7.971864122147121E-5 |39000
"* zet Pup"                    |3.01     |-7.971864122147121E-5 |40000
"1RXS J202400.4-422429"        |10.1219  |-4.125336937430557E-4 |28412
"1RXS J202400.4-422429"        |10.1219  |-4.125336937430557E-4 |28531
"1RXS J202400.4-422429"        |10.1219  |-4.125336937430557E-4 |28597
"1RXS J202400.4-422429"        |10.1219  |-4.125336937430557E-4 |31220
"1RXS J202400.4-422429"        |10.1219  |-4.125336937430557E-4 |34004
"2MASS J05334536+6057503"      |15.5678  |-1.2808779223272282E-5|11363
"2MASS J05334536+6057503"      |15.5678  |-1.2808779223272282E-5|12632
"2MASS J05334536+6057503"      |15.5678  |-1.2808779223272282E-5|12828
"2MASS J05334536+6057503"      |15.5678  |-1.2808779223272282E-5|13254
"2MASS J07232978+3909085"      |1.3698   |-1.2E-4               |18120
"2MASS J08000388+5035454"      |3.0742   |-3.0E-5               |22550
"2MASS J10495981-0047193"      |4.9369   |-4.0E-5               |15422
"2MASS J10495981-0047193"      |4.9369   |-4.0E-5               |15489
"2MASS J11291414+4715014"      |1.1763   |-1.434222759607584E-4 |11379
"2MASS J16243679+3212526"      |10.2435  |-5.837354628668301E-6 |11302
"2MASS J16243679+3212526"      |10.2435  |-5.837354628668301E-6 |11445
"2MASS J17223000+2645275"      |15.8755  |-5.280180225475384E-5 |14728
"2MASS J17223000+2645275"      |15.8755  |-5.280180225475384E-5 |14860
"2MASS J17223000+2645275"      |15.8755  |-5.280180225475384E-5 |15153
"2MASS J17223000+2645275"      |15.8755  |-5.280180225475384E-5 |15246
"2MASS J19192767+3958392"      |9.4238   |-1.2074947343898579E-5|19500
"2MASS J19192767+3958392"      |9.4238   |-1.2074947343898579E-5|20221
"2MASS J19192767+3958392"      |9.4238   |-1.2074947343898579E-5|20376
"2MASS J19251520+4038106"      |1.0459   |-1.4575688706652823E-4|14021
"2MASS J19404830+4059048"      |1.0062   |-1.1473946617568398E-4|14486
"2MASS J23434918+3834295"      |9.0937   |-1.9598305765933244E-4|11565
"2MASS J23434918+3834295"      |9.0937   |-1.9598305765933244E-4|16557
"2MASS J23434918+3834295"      |9.0937   |-1.9598305765933244E-4|16910
"2QZ J095451.6+004808"         |1.7857   |-6.5E-4               |18841
"2QZ J095528.5+004009"         |1.9855   |-1.9E-4               |13681
"2QZ J095528.5+004009"         |1.9855   |-1.9E-4               |14086
"2QZ J095528.5+004009"         |1.9855   |-1.9E-4               |14560
"2QZ J100132.7+013057"         |1.2039   |-2.481408998752377E-4 |34131
"2QZ J100132.7+013057"         |1.2039   |-2.481408998752377E-4 |34719
"2QZ J100334.4+002851"         |2.7409   |-1.3E-4               |17592
"2QZ J100334.4+002851"         |2.7409   |-1.3E-4               |18330
"2QZ J100334.4+002851"         |2.7409   |-1.3E-4               |18598
"2QZ J100334.4+002851"         |2.7409   |-1.3E-4               |18813
"2QZ J100404.9+014743"         |1.2437   |-3.0E-5               |16180
"2QZ J100404.9+014743"         |1.2437   |-3.0E-5               |16525
"2QZ J100404.9+014743"         |1.2437   |-3.0E-5               |16879
"2QZ J100409.7-011127"         |2.0048   |-1.367185766372181E-4 |24163
"2QZ J100409.7-011127"         |2.0048   |-1.367185766372181E-4 |24657
"2QZ J101549.6+015305"         |1.5965   |-0.00101              |12150
"2QZ J101549.6+015305"         |1.5965   |-0.00101              |12293
"2QZ J101908.3+005514"         |2.6397   |-7.0E-5               |15432
"2QZ J101908.3+005514"         |2.6397   |-7.0E-5               |16253
"2QZ J102322.5+013937"         |1.7959   |-3.0E-4               |11870
"2QZ J102322.5+013937"         |1.7959   |-3.0E-4               |12553
"2QZ J102322.5+013937"         |1.7959   |-3.0E-4               |12677
"2QZ J102710.3-014011"         |4.8963   |-2.1681431145670338E-5|11645
"2QZ J102710.3-014011"         |4.8963   |-2.1681431145670338E-5|11889
"2QZ J103004.5-010919"         |2.1471   |-6.4776049319204E-5   |23886
"2QZ J103004.5-010919"         |2.1471   |-6.4776049319204E-5   |24219
"2QZ J103004.5-010919"         |2.1471   |-6.4776049319204E-5   |25020
"2QZ J103158.2+012052"         |3.4404   |-1.667806568095287E-5 |17505
